generation,best,average,unique_edges
0,30580.526856545195,60009.08776444284,0.1246
10,29872.761797461728,30940.60762223665,0.03165
20,29678.908729531555,30623.837906234014,0.02925
30,29678.908729531555,30779.941027973473,0.03045
40,29552.350084836562,30826.47975439084,0.03155
50,29552.350084836562,30663.62497138711,0.03045
60,29538.430827754873,30689.571087952383,0.0304
70,29538.430827754873,30832.47399946236,0.0314
80,29538.430827754873,30432.761667684623,0.02955
90,29528.34274292628,30648.048295612596,0.031
100,29485.151939754258,30660.17487940658,0.03175
110,29475.252774625613,30722.000280016768,0.03115
120,29475.232286998915,30673.052484075128,0.0305
130,29475.232286998915,30885.858339568516,0.0315
140,29475.232286998915,30798.45896037383,0.0317
150,29475.232286998915,30754.50151719025,0.0311
160,29475.232286998915,30638.946576050683,0.0299
170,29475.23228699891,30522.65970297115,0.03005
180,29460.961076854586,30325.393793382733,0.02845
190,29450.872992025983,30711.995359417786,0.0312
200,29440.973826897338,30639.494503916143,0.031
210,29440.973826897338,30656.815290844614,0.0305
220,29440.973826897338,30520.859465716418,0.0301
230,29440.973826897338,30559.41256040943,0.03
240,29440.973826897338,30534.577275906362,0.02975
250,29440.973826897338,30415.081106287416,0.0287
260,29440.973826897338,30579.083777902204,0.03135
270,29440.973826897338,30709.30846615723,0.03075
280,29440.973826897338,30766.471870950496,0.03125
290,29440.973826897338,30715.701627700146,0.03185
300,29440.973826897338,30631.443920671773,0.03125
310,29440.973826897338,30642.578479548163,0.031
320,29440.973826897338,30594.728700316595,0.03035
330,29440.973826897338,30396.807813199,0.02925
340,29440.973826897338,30597.609042917746,0.0301
350,29440.973826897338,30639.33623504418,0.03055
360,29440.973826897338,30457.850519034895,0.02955
370,29440.973826897338,30715.177157450988,0.0316
380,29440.973826897338,30600.467727413445,0.03015
390,29440.973826897338,30524.683711171354,0.0305
400,29440.973826897338,30764.183036031827,0.03135
410,29440.973826897338,30352.962816731037,0.0283
420,29440.973826897338,30577.408910831902,0.03045
430,29440.973826897338,30626.718369816677,0.0312
440,29440.97382689733,30606.031464540247,0.03075
450,29440.97382689733,30560.485722484696,0.03055
460,29440.97382689733,30757.788801063136,0.031
470,29440.97382689733,30585.059904334878,0.0307
480,29440.97382689733,30795.049147049052,0.0321
490,29440.97382689733,30679.469576627176,0.03115
500,29440.97382689733,30514.583795388244,0.0299
510,29440.97382689733,30657.886055913215,0.03155
520,29440.97382689733,30696.505581070604,0.03095
530,29440.97382689733,30810.09259213218,0.03145
540,29440.97382689733,30688.51029545892,0.0307
550,29440.97382689733,30414.92064501181,0.0294
560,29440.97382689733,30526.535133125228,0.0309
570,29440.97382689733,30608.00800270384,0.0304
580,29440.97382689733,30663.166958178794,0.0308
590,29440.97382689733,30524.347809594943,0.0303
600,29440.97382689733,30763.84933815719,0.0314
610,29440.97382689733,30502.976029644175,0.0299
620,29440.97382689733,30717.125745714697,0.03125
630,29440.97382689733,30535.943955148858,0.0298
640,29440.97382689733,30756.21221768418,0.0319
650,29440.97382689733,30758.89489511789,0.0316
660,29440.97382689733,30649.304803052662,0.03085
670,29440.97382689733,30392.40579189829,0.0292
680,29440.97382689733,30507.226773108734,0.0303
690,29440.97382689733,30694.871953145655,0.03165
700,29440.97382689733,30533.80994184679,0.0306
710,29440.97382689733,30821.641251044137,0.03215
720,29440.97382689733,30593.51511210767,0.03095
730,29440.97382689733,30615.85922455209,0.0303
740,29440.97382689733,30656.425396136612,0.03145
750,29440.97382689733,30582.872049427257,0.03005
760,29440.97382689733,30635.38928211728,0.03055
770,29440.97382689733,30533.440201359706,0.02955
780,29440.97382689733,30549.980527116422,0.0306
790,29440.97382689733,30604.982221290516,0.03065
800,29440.97382689733,30600.34967195194,0.031
810,29440.97382689733,30461.116998881353,0.03045
820,29440.97382689733,30373.575339868843,0.0289
830,29440.97382689733,30659.053539709825,0.0307
840,29440.97382689733,30647.034358486915,0.03105
850,29440.97382689733,30668.45980089083,0.0315
860,29440.97382689733,30538.926823875383,0.03045
870,29440.97382689733,30628.450507676713,0.0302
880,29440.97382689733,30522.85424203687,0.0303
890,29440.97382689733,30816.486027925155,0.0316
900,29440.97382689733,30661.33367004738,0.0307
910,29440.97382689733,30617.40427500655,0.03115
920,29440.97382689733,30584.206367250095,0.03095
930,29440.97382689733,30647.59026477379,0.0311
940,29440.97382689733,30603.12790734037,0.0311
950,29440.97382689733,30618.250418308908,0.03065
960,29440.97382689733,30652.690947114417,0.03075
970,29440.97382689733,30725.485606377933,0.031
980,29440.97382689733,30616.692997033962,0.03025
990,29440.97382689733,30716.59792823938,0.03115
