generation,best,average,unique_edges
0,31788.248010398875,327637.8234836654,0.29785
10,30767.309505742,243431.32694734822,0.2675
20,30481.626284849477,221930.34598896292,0.26043333333333335
30,30481.626284849477,212084.28057350733,0.2562333333333333
40,30188.801769123726,217992.94692705703,0.25655
50,30188.801769123726,219987.25657697386,0.2586333333333333
60,30188.801769123726,192481.8201522399,0.24705
70,30188.801769123726,213904.1640034345,0.2543166666666667
80,30188.801769123726,225901.37015403717,0.26181666666666664
90,30188.801769123726,214998.8081878947,0.2552
100,30188.801769123726,216171.0076283622,0.26125
110,30087.945331512074,215845.65137223343,0.25376666666666664
120,30087.945331512074,218859.7009691944,0.2594166666666667
130,30087.945331512074,221879.8380886778,0.25958333333333333
140,30087.945331512074,235210.81171921824,0.2634166666666667
150,30087.945331512074,216094.83920901618,0.2553666666666667
160,30087.945331512074,226038.86590557778,0.25965
170,30087.945331512074,209611.36542407228,0.25305
180,30087.945331512074,237686.68417036708,0.2646
190,30087.945331512074,226473.4969074154,0.26026666666666665
200,30087.945331512074,210787.36595131774,0.25178333333333336
210,30087.945331512074,211697.15666125595,0.2524166666666667
220,30087.945331512074,222517.3008317902,0.2609
230,30087.945331512074,233684.46142107065,0.2650166666666667
240,30087.945331512074,217659.73340303922,0.2551333333333333
250,30087.945331512074,217251.01704519265,0.25495
260,30087.945331512074,222924.2512531393,0.2623333333333333
270,30087.945331512074,215031.40062499602,0.2547333333333333
280,30087.945331512074,208715.29407388694,0.2544
290,30087.945331512074,200932.31247215084,0.25316666666666665
300,30087.945331512074,208055.7091831989,0.24755
310,30087.945331512074,217505.6204658453,0.25553333333333333
320,30087.945331512074,216369.32749770948,0.25551666666666667
330,30087.945331512074,236740.0084277909,0.26543333333333335
340,30087.945331512074,220927.4846607264,0.2581333333333333
350,30087.945331512074,218126.3456570277,0.2574
360,30087.945331512074,208450.41663398998,0.25485
370,30087.945331512074,218063.2626359917,0.25548333333333334
380,30087.945331512074,228287.6164539405,0.25985
390,30087.945331512074,223907.2749144165,0.25835
400,30087.945331512074,230859.65883622802,0.2606
410,30087.945331512074,214033.373170103,0.2523666666666667
420,30087.945331512074,219148.64207308384,0.25611666666666666
430,30087.945331512074,221224.93971389224,0.2592333333333333
440,29895.393217211942,227801.57419458262,0.26263333333333333
450,29895.393217211942,219386.42955901465,0.25943333333333335
460,29895.393217211942,225265.6248795416,0.2601833333333333
470,29895.393217211942,229496.18389215667,0.26038333333333336
480,29895.393217211942,227618.24253342053,0.26295
490,29895.393217211942,212179.22301125218,0.25461666666666666
500,29895.393217211942,196509.34161960217,0.24556666666666666
510,29895.393217211942,222150.084193065,0.25721666666666665
520,29895.393217211942,231263.5342089731,0.26043333333333335
530,29895.393217211942,212344.9482818562,0.25321666666666665
540,29895.393217211942,205993.67341162323,0.25065
550,29895.393217211942,216295.68974820705,0.25688333333333335
560,29895.393217211942,216809.65275885267,0.25606666666666666
570,29895.393217211942,205283.94181634285,0.25153333333333333
580,29895.393217211942,204923.97368125475,0.2529666666666667
590,29895.393217211942,217586.705965972,0.2563666666666667
600,29895.393217211942,227543.71857493176,0.26311666666666667
610,29895.393217211942,224838.16449830765,0.25948333333333334
620,29895.393217211942,220773.00919096314,0.2592
630,29895.393217211942,218190.39579165736,0.2557833333333333
640,29895.393217211942,208763.6713350657,0.2518
650,29895.393217211942,216738.68632109015,0.2574166666666667
660,29895.393217211942,224256.92140973182,0.2584166666666667
670,29895.393217211942,216453.74823242353,0.25656666666666667
680,29895.393217211942,223850.0143871878,0.26355
690,29895.393217211942,219533.7257602531,0.25875
700,29895.393217211942,207840.6302248002,0.2529666666666667
710,29895.393217211942,225729.56294966076,0.2602833333333333
720,29895.393217211942,217766.9496323743,0.2536833333333333
730,29895.393217211942,214496.2008410678,0.2558666666666667
740,29895.393217211942,211351.29868751045,0.25511666666666666
750,29895.393217211942,222065.4188333928,0.25658333333333333
760,29895.393217211942,218477.11698394924,0.25765
770,29895.393217211942,216685.91015840264,0.25458333333333333
780,29895.393217211942,209218.61682976197,0.251
790,29895.393217211942,205370.85054363107,0.24895
800,29895.393217211942,224188.93056000271,0.26195
810,29895.393217211942,228854.89151359946,0.26106666666666667
820,29895.393217211942,226265.8653549768,0.26263333333333333
830,29895.393217211942,223045.11055782056,0.2601833333333333
840,29895.393217211942,218873.16290443708,0.2584166666666667
850,29895.393217211942,212575.78782233375,0.2551
860,29895.393217211942,210302.50815250826,0.25235
870,29895.393217211942,223038.18510325617,0.2611833333333333
880,29895.393217211942,214146.17208988615,0.25608333333333333
890,29895.393217211942,221870.00159509102,0.25945
900,29895.393217211942,219850.14235343807,0.25693333333333335
910,29895.393217211942,214727.7744173596,0.25198333333333334
920,29895.393217211942,219517.83905185634,0.2571833333333333
930,29895.393217211942,209352.54852207188,0.25403333333333333
940,29895.393217211942,217278.52648004217,0.25456666666666666
950,29895.393217211942,215340.602994385,0.2576833333333333
960,29895.393217211942,220033.54598167582,0.25783333333333336
970,29895.393217211942,220788.07044966565,0.2584166666666667
980,29895.393217211942,222258.67280814756,0.26025
990,29895.393217211942,234955.71528953288,0.26381666666666664
